tau,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,mse_15,mse_16,mse_17,mse_18,mse_19,mse_20,mse_21,mse_22,mse_23,mse_24,mse_25,mse_26,mse_27,mse_28,mse_29
10,2.406472705149542e-09,3.434123233857371e-09,4.404773963824913e-09,5.786219416936147e-09,5.758040866650789e-09,4.978461277624822e-09,5.803346054766551e-09,5.414011737167616e-09,4.379856833022576e-09,4.850142678190921e-09,4.562941672920153e-09,4.198136619545434e-09,3.553803965127235e-09,2.746897585817971e-09,2.4784001561771248e-09,1.94288451196437e-09,1.2561333060662183e-09,1.434386623483317e-09,2.0284081569174532e-09,2.317035358874819e-09,2.216569767031181e-09,1.9209151947516455e-09,1.4955090048160883e-09,1.3946227912350643e-09,1.5041325751962042e-09,1.4593865232936943e-09,1.352308533164447e-09,1.6801722124590261e-09,2.025946062843112e-09,2.130919059466276e-09
40,5.890072772140379e-05,5.883019506377923e-05,5.4440658537097805e-05,5.1833023294518526e-05,5.4721827733238817e-05,5.682772145044371e-05,5.49984919423809e-05,5.474464547170673e-05,5.4339732764958184e-05,5.167006996815567e-05,5.58788475696723e-05,5.461509495061291e-05,5.253489206464816e-05,5.2239833337672305e-05,5.102498892402958e-05,5.316184881814373e-05,5.698847459373925e-05,5.779771938031892e-05,5.780281027672905e-05,5.9365416208226214e-05,5.978166415560796e-05,5.8660093001835275e-05,5.9134510288887934e-05,6.157166960838229e-05,6.260304120348573e-05,6.136902093715246e-05,5.919272957361352e-05,5.498140911308128e-05,4.956225415476363e-05,4.897242407567754e-05
55,0.3056614017404169,0.3156392195622358,0.3177792843982345,0.3154136009701611,0.3115780236816141,0.2969871732144002,0.2840443460557246,0.2786391343544592,0.2850445083398685,0.2915090957822102,0.2998893160342283,0.3326709368424071,0.3470992107180617,0.323097232055431,0.2894873404815328,0.285613197688271,0.2877810999304485,0.2882233179457199,0.2952086477694078,0.3088764260117173,0.310880580543424,0.3057989243072252,0.3005540353269407,0.2938787283827361,0.2906357158880923,0.2913904532847182,0.2948976186451871,0.2942953708161377,0.2934754705785037,0.3001464374051826
30,5.764279899638608e-07,5.503779266648331e-07,4.525963186329644e-07,3.784218641998262e-07,3.334114390609723e-07,3.405971458490301e-07,4.3076589313163275e-07,5.591007553495597e-07,6.247107665079207e-07,6.392154417606237e-07,6.506741447398516e-07,7.53159710915965e-07,6.364002574136764e-07,5.35199484607375e-07,5.827410173328349e-07,5.894668675463599e-07,4.919707911648557e-07,4.483509573360555e-07,4.605922415051921e-07,4.547302971955306e-07,4.115605854486121e-07,3.581655321357521e-07,3.147643403354863e-07,3.5169126024407457e-07,4.482398923101367e-07,5.093168641200829e-07,5.107588134494018e-07,4.604532063207282e-07,4.043719413873793e-07,3.570889950962693e-07
25,0.0015602626995586,0.0014662258974519,0.0012457057188806,0.0009973880027319,0.0009197722260829,0.001052605799671,0.0013570668266929,0.001381469296381,0.0012082919543155,0.0008775843386706,0.0008594163037247,0.0008728404896734,0.0009395890827931,0.0008740754913226,0.0009485192765864,0.0009811915591057,0.0010143968336889,0.0010214756099851,0.0010985088561322,0.0011097346834446,0.0011632960068317,0.0013863780683251,0.0015520020880567,0.0016201293782138,0.0015987193184576,0.0014396045867305,0.0012559055293569,0.0011987250426492,0.0012502576113185,0.0013924063670338
20,3.0001701491056484e-07,3.653416160329012e-07,4.231953908085501e-07,4.486671693360011e-07,4.326065695058822e-07,4.76318575948202e-07,6.154756844891148e-07,8.274885400373118e-07,9.780467989160978e-07,1.0383224116906429e-06,9.921602197846388e-07,8.191599102151984e-07,5.859785139255809e-07,4.581758410574668e-07,4.375665309598722e-07,4.656941011480362e-07,4.741309205110325e-07,5.034642688781703e-07,5.685567715266887e-07,6.722527230060308e-07,7.186487206815726e-07,7.189072247434044e-07,7.159496686685063e-07,6.156408633573335e-07,4.877248240020121e-07,4.562369597310552e-07,4.650808195618963e-07,4.99117511963036e-07,4.923577382508082e-07,4.858093674093183e-07
35,1.67380878499873e-06,1.4713748583285207e-06,1.3416610717841193e-06,1.2402979754312496e-06,1.2133588558739422e-06,1.3537210633000046e-06,1.6411227981921502e-06,1.751326726330486e-06,1.9780367939910903e-06,2.2802108726679226e-06,2.2514007371023324e-06,2.5167053365771253e-06,2.32245311799793e-06,1.9514403966738436e-06,1.8737659169653465e-06,1.961894942376604e-06,2.0447417295598013e-06,2.074263827028752e-06,1.983496407570505e-06,1.8227355146237343e-06,1.640786128105888e-06,1.583417476717528e-06,1.7497639375553717e-06,1.9972503057325424e-06,2.2837952825987435e-06,2.358497787555069e-06,2.3842921232905832e-06,2.2032873746703083e-06,1.8011487569645758e-06,1.636199604761584e-06
5,1.535101883815628e-09,1.3285763798441856e-09,1.113402342648963e-09,1.071225557186595e-09,1.384906119235227e-09,1.6675563317233563e-09,1.7597997638881333e-09,2.2321663936354406e-09,1.9162448960397813e-09,1.728322587273637e-09,1.4874069403821375e-09,1.0083465408924899e-09,6.802222498810721e-10,4.900828440866405e-10,3.323289196067454e-10,1.62489945481839e-10,9.666269393562053e-11,2.1903699918808108e-10,3.624149339832353e-10,4.059759481193145e-10,5.844877506355403e-10,1.271562568752099e-09,2.474009311403549e-09,3.147557795653571e-09,2.635000854414493e-09,1.9617197159230953e-09,1.513228279941966e-09,1.2460611171471492e-09,1.249728885045801e-09,1.7946185828849014e-09
50,0.2017933904612759,0.2083802878001171,0.2225763309991373,0.236829447340695,0.2301089676931372,0.2082515275413138,0.199558803035855,0.1918275008907085,0.186175663512594,0.194504369183899,0.2160940070364551,0.2082597731297057,0.2027779966018354,0.2170463473936395,0.1952848799956103,0.2028463792444527,0.2049398231592867,0.2036517687103095,0.1991860455664703,0.1981844209191205,0.1966168010043473,0.2021259098279844,0.2138779484692545,0.2175329236750075,0.2179025170025546,0.2161939368012495,0.2186889393655683,0.2234310163862354,0.2401282326815273,0.2379738103007024
45,0.1689446399057969,0.1903878369935915,0.1950466766969071,0.1706725838823179,0.1582798273490259,0.160472538137827,0.1556458456515166,0.1518378141616093,0.1638754557097726,0.2027253099938634,0.1753461261261702,0.1596322622402037,0.2006564313202872,0.2004411937084824,0.1664250561648153,0.1514521934624903,0.1502282688258847,0.1526426763186837,0.1562235299393659,0.1542925323369617,0.152284848351011,0.1529944635984571,0.1570827347474393,0.1546251369783087,0.1554881555557669,0.1563174759461803,0.153584053300162,0.1523585863855774,0.1629253075660231,0.1790422746285076
