tau,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,mse_15,mse_16,mse_17,mse_18,mse_19,mse_20,mse_21,mse_22,mse_23,mse_24,mse_25,mse_26,mse_27,mse_28,mse_29,mse_30,mse_31,mse_32,mse_33,mse_34,mse_35,mse_36,mse_37,mse_38,mse_39,mse_40,mse_41,mse_42,mse_43,mse_44,mse_45,mse_46,mse_47,mse_48,mse_49
15,8.180872588048703e-07,7.530920899781795e-07,7.059299540365994e-07,6.810356562971885e-07,6.780756878036385e-07,7.235130803096367e-07,8.467525383607543e-07,1.0008739763292303e-06,1.1636253622781617e-06,1.3558583034584018e-06,1.5009808030796224e-06,1.4844054678305649e-06,1.3272902326249122e-06,1.163373629463805e-06,1.1122076799592683e-06,1.1175156824453132e-06,1.1002278218305758e-06,9.862078140120371e-07,7.577484836612908e-07,6.11260863751592e-07,5.677992814011484e-07,5.806533111175016e-07,6.034629484820852e-07,6.100489859874912e-07,6.086053317721738e-07,6.163213409316962e-07,6.454408681699734e-07,6.836773550117107e-07,7.189430826538359e-07,7.629579414551294e-07,8.36707283022093e-07,9.4074133855743e-07,1.0630663994931742e-06,1.1838242030923637e-06,1.2782000193090195e-06,1.3535036090398257e-06,1.4472060009866685e-06,1.5730270096611817e-06,1.6928877645585272e-06,1.7397463484142671e-06,1.6852244804533276e-06,1.5721453095785757e-06,1.4581412222958742e-06,1.363706569138937e-06,1.3022173879938194e-06,1.2884890087674794e-06,1.301230245136809e-06,1.3006250143630203e-06,1.2671174313495609e-06,1.241786003058543e-06
80,1.7684927243518034,1.6002048909931772,1.346698930020393,1.149341188382958,1.1365117118130068,1.298606101497348,1.4660331144978902,1.4657764483340578,1.3366924949561714,1.2122371530681078,1.1351576728922963,1.2114810727296674,1.3530697876391586,1.34157931140249,1.212963381126668,1.2093026564063287,1.4342443100514286,1.8171239177946203,1.89955025045062,1.7528185179164937,1.5297297807654724,1.231384081688062,1.069811643046097,1.0106211640607974,0.9610884555701992,0.9007059638617606,0.8565128045492475,0.8399530777681562,0.8421300469582464,0.8684610261030202,0.9220401364536124,0.9789669951338916,1.0012839707163177,0.9745052883882416,0.9173345371998488,0.8639081105882913,0.8605118323589724,0.9358373898480874,1.0499712300881576,1.1059891635697512,1.0546014286095975,0.9547261878822346,0.8782585764412516,0.8395647423437453,0.8342354532344394,0.8640997875149012,0.9220417349157704,0.9802028059819156,1.0078491608722184,1.0015332752547776
70,0.3783808563777717,0.3890478438949905,0.4054685492742758,0.4132846712199258,0.4032616786414245,0.3838920563939343,0.3639158983629145,0.3387603434137685,0.3080377439413446,0.2854570027030702,0.2736508059017792,0.2767240411375713,0.2758074078681268,0.2476309301411827,0.2240675826297845,0.2157438734064151,0.2117746237968539,0.2160095762966048,0.2235278431010676,0.2048842679753298,0.1677339221257016,0.1448596004513702,0.1454379248162954,0.1580328726999033,0.1732479445564148,0.1874535968052986,0.1957527547151963,0.1961975269620103,0.1905719323180492,0.1826415198755066,0.1778020911197197,0.1798001387005755,0.1888216397889887,0.2024367535871928,0.2168119179066897,0.2273361997162338,0.2333377740325355,0.2381215739403377,0.2409445748885917,0.2397462226020304,0.235022300090659,0.2279219444948117,0.21840333655479,0.2087193008579899,0.2041008809883946,0.2065614586233058,0.211854625823604,0.2167797177887082,0.2250379294560603,0.240155474299388
65,0.0637751106337548,0.0673161646346642,0.072321869169612,0.0752918497220106,0.0754133482067481,0.0759799758045381,0.0777048277335954,0.0769076890134941,0.0713215165393806,0.063978012152543,0.0598193173481608,0.0599795536619856,0.0597277210922,0.061839812541779,0.0651535876810475,0.0663935531599486,0.0662557531105874,0.0660471044567499,0.0645279097277459,0.0651471277087381,0.0673288478115956,0.0690668125428281,0.0716870880766041,0.0719318263373047,0.0707726251906347,0.0701885739052421,0.0694686625204898,0.0679643823430532,0.0665347399267584,0.0662271310134216,0.067375089355524,0.0696602870931015,0.0727829761493119,0.0766772177851642,0.0811275980914432,0.0848891077183039,0.0862237448086025,0.0850713712498957,0.0827728956853888,0.0804733648385424,0.0784267606002289,0.0761638841753199,0.0733294350087976,0.0703823160304053,0.0677877729330742,0.0656340185742489,0.0643341937737952,0.0640186184150443,0.0642546193072879,0.0648831585181517
85,2.18775154283551,2.398149071895054,2.533921043095853,2.593570663014635,2.57562050421698,2.479142071413974,2.2929286750060105,2.0122281159017343,1.7031989503920169,1.462108267020297,1.3483337635011166,1.3802528107906358,1.6146899690759,1.9614050069222253,2.0541425580235577,1.9459418163019775,1.8902933284694476,1.819405476946451,1.5815514704102218,1.3838559378863573,1.4287070348713051,1.6002476491227302,1.83081149852341,2.0759367337243333,2.082356774009907,1.8162046897985653,1.5353937286900272,1.3900290745841208,1.3508920428670996,1.36763667788838,1.3882642366340865,1.3747971765272988,1.3298423114443825,1.2716330795699662,1.214126550442754,1.1790137981818476,1.2005996713988505,1.2985350437485232,1.4430072796968614,1.5470384141086102,1.5384823573592623,1.444680913374213,1.3429416799810263,1.280840540497184,1.268021528802745,1.2986328857534415,1.3624541167459991,1.4551450183608867,1.575045129671674,1.701204706507468
90,2.1988968588299027,2.1621579699653504,2.058960350881592,1.9604719435436464,1.884161861060571,1.780060664048159,1.6481456593857111,1.5234612595027746,1.4084199299642586,1.2853725620003136,1.1857285596683984,1.1768478612472493,1.308599487135912,1.487605366882305,1.5033006343519186,1.4223586645574764,1.4136773871928978,1.56148087081808,1.775552066684261,1.9499110044038344,2.16794638999873,2.188726145948918,2.1588236983698965,2.1977391483132425,1.98532677598104,1.5814251451047296,1.2578214728399,1.0938366535995452,1.0450142648345098,1.059557746992284,1.0727600516711626,1.0587202747806952,1.0431407975427018,1.045205846725125,1.0644040907202756,1.0900005678619449,1.1215181615616605,1.175734126862528,1.2514688199293174,1.3110324035829448,1.3227014963684494,1.293701731266346,1.2528311061787978,1.224429603957801,1.2106116671484684,1.2146866292571694,1.2452455359724062,1.307071736155681,1.4098328319038684,1.5573676783831651
60,0.0125362737100261,0.0124627190931399,0.0121620220172136,0.0119213614172097,0.0121591536457977,0.0127853186367579,0.0132859846786345,0.0132412908509845,0.012697484273914,0.0120976807934298,0.0117746973001935,0.0116720785610823,0.0117684314058923,0.0119338400902925,0.0122522550697804,0.0127809724082208,0.0130057148842538,0.0126307778405958,0.0121894010869592,0.0121584540956823,0.0123873518023666,0.0130589179709599,0.0139361190051652,0.0139587408264009,0.0131418242729116,0.012441536081355,0.0121952916446046,0.0122825230096391,0.0125977583323971,0.0130461775210566,0.0134152923695822,0.0135815392055775,0.0136760041971232,0.0137914824211708,0.0138753743228524,0.0138464135632457,0.0136834980702347,0.0134417749686595,0.0131741706460866,0.0129627805108322,0.01291833270185,0.0130860090415325,0.0133525797997708,0.0136051556743919,0.0138636272931152,0.0141338872061436,0.014323276119352,0.0143810423007962,0.0144037204096097,0.0144479886526017
75,1.2371509946280042,1.3946823777148625,1.5686993227033723,1.616919084655779,1.5600541884960684,1.47790271873635,1.370714107135702,1.2286212531323106,1.1105463994837688,1.04218970146575,0.9939104759256204,1.077510042453922,1.2589982174309446,1.299547550993079,1.2380218893280006,1.283089379004925,1.4023002919557126,1.6430008385263688,2.0490267895876237,2.1759369584282986,2.10496012085951,2.1415636390633845,2.3150123173253996,2.34507661376416,2.2073226072444743,1.9503466202798887,1.6296446713797856,1.3920987575078734,1.32518213806713,1.3708652633438174,1.4071636594778667,1.3787525487326613,1.3254741114741522,1.2853473524302852,1.2415842493508042,1.1622687762099762,1.0495516680962416,0.9534248454117572,0.9177106669528522,0.9343457100457716,0.9608811908264654,0.9507991763353294,0.8822332243716876,0.7943765299820178,0.7467309148738323,0.7420108682528876,0.7640810816584938,0.81083843814396,0.886083931676901,0.9978592689998284
10,4.4991629208823083e-08,4.2600284270794715e-08,4.3434676026843395e-08,4.638002353965112e-08,5.0525016767810944e-08,5.6025770992158716e-08,6.111182303566033e-08,6.26259787006432e-08,6.094685721661472e-08,5.792650006444174e-08,5.6118307854753125e-08,5.8488841339759435e-08,6.531016750073106e-08,7.110667903965549e-08,7.023838998397319e-08,6.590344026126146e-08,6.290852056464651e-08,6.12243844754977e-08,5.9019944638246423e-08,5.5134032475477696e-08,4.8604241090125944e-08,4.056810929373942e-08,3.383307960228984e-08,2.9284063795187572e-08,2.6687202789650397e-08,2.5951099833043785e-08,2.5552952915070672e-08,2.361588758637222e-08,2.1585711341402674e-08,2.2134079062133996e-08,2.4793027157887204e-08,2.6719064673170812e-08,2.6351618338142773e-08,2.4245880043886483e-08,2.1601681784643738e-08,1.9123536249065546e-08,1.7062876450784816e-08,1.562797868485697e-08,1.5110505357503917e-08,1.5897212549839137e-08,1.8328548712952776e-08,2.2025172636852282e-08,2.5834166643030225e-08,2.910028453256745e-08,3.2640100925357765e-08,3.7391411868858295e-08,4.2124109621419494e-08,4.4823964316247275e-08,4.4914363463666915e-08,4.2891787339494094e-08
40,0.0598388492091478,0.0574623305178354,0.0550206588908103,0.0518890950048687,0.0490105826886763,0.0473713660111348,0.0471873425251302,0.0491486802188811,0.0533646384090565,0.0579585810014673,0.0594044565241645,0.0574289597290003,0.0597437135828378,0.0696524088065254,0.0786301011516903,0.0767912410588795,0.0666792100323275,0.055406194258013,0.050989558432484,0.0524186456823939,0.0569908519893711,0.0658502452509843,0.0744341493639094,0.0742834941321731,0.0712583280600243,0.0695246158689029,0.0673330443234539,0.0641600542524592,0.0598499289798963,0.0548329571303776,0.0501220006232027,0.0461361245320763,0.0429738399894988,0.0410824180445399,0.0406681433713314,0.0411825572895134,0.0412968420683162,0.0404260771412072,0.0398752639230683,0.0408468879029643,0.0433770274274449,0.0471374973674697,0.0518327784941048,0.0566933307908267,0.0603897508232274,0.0622282067798727,0.0625905979318486,0.062626308119576,0.0631072473574816,0.064018432402066
